Genome	taxID	taxName	taxLvl	seqLvl	ANI	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
3934_U	40323	Stenotrophomonas	genus	genus	92.56	99.80	0.04	0.00	4185603	18	412119	67.3	89.78	3579	40323	40323	1	40323	40323	40323	32033
3934_CE	1690268	Acidovorax sp. SD340	species	species	96.88	99.62	1.28	20.00	5317101	37	350879	64.7	89.49	4861	1690268	1690268	1690268	12916	12916	12916	80840
LjRoot5	218284	Bacillus vietnamensis	species	species	92.56	98.85	3.13	0.00	4464912	60	242329	43.2	85.26	4495	218284	218284	1	1	218284	218284	1385
3934_M	165697	Sphingopyxis	genus	genus	90.32	99.98	1.59	0.00	4285894	5	2712024	65.1	91.14	3926	165697	165697	1	165697	165697	165697	204457
Chlamy85	34072	Variovorax	genus	genus	93.28	100.00	100.00	12.50	12972046	60	448274	66.5	91.03	11787	34072	34072	1	34072	80840	80840	1
LjRoot138	80864	Comamonadaceae	family	family	93.19	100.00	31.00	41.46	8029976	1552	181699	65.5	88.18	8681	80864	80864	1	1	80864	80864	2
Chlamy62	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5994780	24	448274	66.7	89.89	5408	106589	106589	106589	106589	119060	106589	119060
Chlamy21	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996434	21	479181	66.7	89.89	5405	106589	106589	106589	106589	119060	106589	119060
3823_AR	1449076	Sphingomonas sp. UNC305MFCol5.2	species	species	92.80	99.66	1.05	0.00	4520469	9	1123190	66.0	90.97	4136	1449076	1449076	1	1224	1449076	1449076	204457
LjRoot143	32033	Xanthomonadaceae	family	family	90.74	99.66	0.51	0.00	4450484	12	723573	66.7	90.71	4168	32033	32033	1	1	1236	32033	32033
LjRoot19	1760	Actinobacteria	class	class	83.82	99.33	0.72	0.00	3340516	35	895112	69.6	91.91	3126	1760	1760	1	1	1760	33882	2037
Chlamy18	106589	Cupriavidus	genus	genus	97.69	100.00	104.17	93.10	14039959	124	274583	66.3	88.57	12805	106589	106589	106589	2	106589	106589	1
LjRoot82	728056	Flavobacterium oncorhynchi	species	species	95.84	99.65	0.85	25.00	5027472	43	210694	33.5	88.56	4279	728056	728056	728056	237	237	237	49546
